성별,연령대,연 소득,가구 형태,구매 목적,구매 형태,구매시 중요하게 생각하는 요소,구매시 우려하는 부분,제품 구매 1순위,제품 구매 2순위
남성,20대,4000만원 미만,1인,취미,신규,가격,가격,가격,옵션의 다양성
여성,30대,4000~7000만원,2인,업무,변경,AS,판매처의 신뢰도,환불정책,가격
남성,40대,7000만원~1억,3인,기타,추가,기능,유지비,편의성,브랜드
여성,50대,1억 이상,4인 이상,취미,신규,브랜드,AS,브랜드,옵션의 다양성
남성,60대,4000~7000만원,2인,업무,변경,가격,유지비,전문성,가격
여성,20대,4000만원 미만,1인,기타,신규,기능,판매처의 신뢰도,옵션의 다양성,브랜드
남성,30대,7000만원~1억,3인,업무,추가,기능,유지비,전문성,가격
여성,40대,1억 이상,4인 이상,취미,신규,AS,판매처의 신뢰도,옵션의 다양성,편의성
남성,50대,4000~7000만원,2인,기타,변경,기능,유지비,가격,브랜드
여성,60대,7000만원~1억,1인,업무,추가,기능,AS,편의성,환불정책
남성,20대,4000~7000만원,2인,업무,신규,기능,유지비,편의성,브랜드
여성,30대,7000만원~1억,3인,기타,변경,AS,가격,옵션의 다양성,기능
남성,40대,1억 이상,4인 이상,취미,추가,브랜드,유지비,옵션의 다양성,편의성
여성,50대,4000만원 미만,2인,업무,신규,기능,유지비,편의성,브랜드
남성,60대,7000만원~1억,3인,기타,변경,가격,AS,가격,전문성
여성,20대,4000만원 미만,1인,취미,추가,브랜드,판매처의 신뢰도,브랜드,환불정책
남성,30대,4000~7000만원,4인 이상,업무,신규,기능,유지비,편의성,옵션의 다양성
여성,40대,7000만원~1억,3인,기타,추가,기능,판매처의 신뢰도,전문성,브랜드
남성,50대,1억 이상,2인,취미,변경,브랜드,가격,브랜드,편의성
여성,60대,4000만원 미만,1인,업무,신규,AS,유지비,가격,편의성
남성,20대,7000만원~1억,3인,기타,추가,기능,판매처의 신뢰도,옵션의 다양성,가격
여성,30대,1억 이상,2인,업무,신규,가격,유지비,편의성,브랜드
남성,40대,4000~7000만원,2인,취미,변경,브랜드,판매처의 신뢰도,편의성,기능
여성,50대,7000만원~1억,3인,업무,추가,기능,가격,전문성,옵션의 다양성
남성,60대,4000~7000만원,1인,취미,신규,AS,유지비,옵션의 다양성,가격
여성,20대,1억 이상,4인 이상,업무,변경,브랜드,가격,브랜드,편의성
남성,30대,4000~7000만원,2인,기타,추가,기능,판매처의 신뢰도,가격,편의성
여성,40대,4000~7000만원,3인,취미,신규,AS,유지비,편의성,브랜드
남성,50대,7000만원~1억,2인,업무,변경,가격,유지비,전문성,기능
여성,60대,1억 이상,4인 이상,기타,추가,기능,AS,편의성,브랜드
남성,20대,4000만원 미만,1인,취미,신규,가격,가격,옵션의 다양성,브랜드
여성,20대,4000~7000만원,2인,업무,신규,기능,판매처의 신뢰도,기능,편의성
남성,30대,4000~7000만원,2인,업무,변경,기능,유지비,기능,편의성
여성,30대,7000만원~1억,3인,업무,신규,브랜드,유지비,브랜드,전문성
남성,40대,4000~7000만원,3인,기타,변경,기능,판매처의 신뢰도,가격,브랜드
여성,40대,7000만원~1억,4인 이상,취미,신규,브랜드,유지비,브랜드,가격
남성,50대,7000만원~1억,3인,업무,추가,기능,유지비,전문성,가격
여성,50대,1억 이상,2인,업무,변경,가격,유지비,편의성,브랜드
남성,60대,4000~7000만원,1인,취미,추가,가격,AS,옵션의 다양성,편의성
여성,60대,4000만원 미만,1인,기타,신규,기능,유지비,가격,옵션의 다양성
남성,20대,7000만원~1억,2인,업무,변경,브랜드,판매처의 신뢰도,전문성,기능
여성,30대,4000만원 미만,1인,업무,추가,AS,판매처의 신뢰도,브랜드,기능
남성,40대,7000만원~1억,4인 이상,업무,추가,기능,유지비,전문성,브랜드
여성,40대,4000~7000만원,2인,취미,변경,AS,가격,브랜드,편의성
남성,50대,1억 이상,2인,기타,추가,브랜드,판매처의 신뢰도,브랜드,기능
여성,50대,4000만원 미만,1인,취미,신규,기능,유지비,편의성,브랜드
남성,60대,7000만원~1억,3인,기타,변경,가격,AS,가격,전문성
여성,20대,4000만원 미만,2인,업무,변경,기능,유지비,편의성,가격
남성,30대,1억 이상,4인 이상,업무,추가,브랜드,유지비,전문성,편의성
여성,30대,4000~7000만원,3인,취미,변경,AS,유지비,브랜드,기능
남성,40대,4000~7000만원,1인,기타,신규,기능,판매처의 신뢰도,편의성,브랜드
여성,40대,1억 이상,2인,업무,변경,가격,판매처의 신뢰도,브랜드,전문성
남성,50대,7000만원~1억,2인,기타,추가,브랜드,유지비,전문성,가격
여성,60대,7000만원~1억,3인,기타,추가,기능,판매처의 신뢰도,편의성,브랜드
남성,20대,4000만원 미만,1인,취미,신규,가격,가격,옵션의 다양성,브랜드
여성,20대,4000~7000만원,2인,업무,변경,기능,판매처의 신뢰도,기능,편의성
남성,30대,4000~7000만원,3인,업무,신규,기능,유지비,기능,편의성
여성,30대,7000만원~1억,3인,업무,변경,브랜드,유지비,브랜드,편의성
남성,40대,4000~7000만원,2인,기타,신규,기능,유지비,기능,가격
여성,40대,7000만원~1억,4인 이상,업무,추가,브랜드,유지비,브랜드,가격
남성,50대,7000만원~1억,3인,업무,추가,기능,유지비,전문성,브랜드
여성,50대,1억 이상,4인 이상,취미,신규,브랜드,유지비,브랜드,편의성
남성,60대,4000~7000만원,1인,기타,신규,기능,유지비,편의성,가격
여성,60대,4000만원 미만,1인,취미,변경,가격,유지비,옵션의 다양성,편의성
남성,20대,7000만원~1억,2인,업무,변경,브랜드,판매처의 신뢰도,전문성,기능
여성,30대,4000만원 미만,1인,업무,추가,AS,판매처의 신뢰도,브랜드,기능
남성,40대,7000만원~1억,4인 이상,업무,신규,기능,유지비,전문성,브랜드
여성,40대,4000~7000만원,2인,취미,변경,AS,가격,브랜드,편의성
남성,50대,1억 이상,2인,기타,추가,브랜드,판매처의 신뢰도,브랜드,기능
여성,50대,4000만원 미만,1인,취미,신규,기능,유지비,편의성,브랜드
남성,60대,7000만원~1억,3인,기타,변경,가격,AS,가격,전문성
여성,20대,4000만원 미만,2인,업무,변경,기능,유지비,편의성,가격
남성,30대,1억 이상,4인 이상,업무,추가,브랜드,유지비,전문성,편의성
여성,30대,4000~7000만원,3인,취미,변경,AS,유지비,브랜드,기능
남성,40대,4000~7000만원,1인,기타,신규,기능,판매처의 신뢰도,편의성,브랜드
여성,40대,1억 이상,2인,업무,변경,가격,판매처의 신뢰도,브랜드,전문성
남성,50대,7000만원~1억,2인,기타,추가,브랜드,유지비,전문성,가격
여성,60대,7000만원~1억,3인,기타,추가,기능,판매처의 신뢰도,편의성,브랜드
남성,20대,4000만원 미만,1인,취미,신규,가격,가격,옵션의 다양성,브랜드
여성,20대,4000~7000만원,2인,업무,변경,기능,판매처의 신뢰도,기능,편의성
남성,30대,4000~7000만원,3인,업무,신규,기능,유지비,기능,편의성
여성,30대,7000만원~1억,4인 이상,업무,추가,브랜드,유지비,브랜드,가격
남성,40대,7000만원~1억,2인,기타,신규,기능,판매처의 신뢰도,기능,편의성
여성,40대,1억 이상,3인,업무,변경,브랜드,유지비,브랜드,편의성
남성,50대,4000~7000만원,2인,기타,추가,기능,유지비,전문성,브랜드
여성,50대,7000만원~1억,3인,업무,신규,기능,가격,편의성,브랜드
남성,60대,4000만원 미만,1인,취미,신규,가격,유지비,옵션의 다양성,편의성
여성,60대,4000~7000만원,2인,기타,변경,기능,판매처의 신뢰도,편의성,브랜드
남성,20대,7000만원~1억,2인,업무,변경,브랜드,유지비,전문성,기능
여성,30대,4000~7000만원,3인,업무,추가,AS,판매처의 신뢰도,기능,편의성
남성,40대,4000~7000만원,3인,기타,신규,기능,유지비,기능,브랜드
여성,40대,7000만원~1억,4인 이상,취미,변경,브랜드,유지비,브랜드,가격
남성,50대,1억 이상,2인,업무,추가,브랜드,유지비,전문성,편의성
여성,50대,7000만원~1억,3인,업무,변경,기능,유지비,브랜드,기능
남성,60대,7000만원~1억,3인,기타,추가,기능,유지비,전문성,브랜드
여성,20대,4000만원 미만,2인,업무,신규,기능,판매처의 신뢰도,브랜드,기능
남성,30대,7000만원~1억,4인 이상,업무,변경,기능,판매처의 신뢰도,브랜드,전문성
여성,30대,1억 이상,3인,취미,신규,브랜드,유지비,브랜드,편의성
남성,40대,7000만원~1억,3인,업무,추가,기능,유지비,전문성,기능
여성,40대,4000~7000만원,2인,업무,변경,AS,유지비,브랜드,기능
남성,50대,7000만원~1억,4인 이상,기타,신규,브랜드,판매처의 신뢰도,브랜드,기능
여성,60대,4000만원 미만,2인,기타,추가,기능,가격,옵션의 다양성,편의성
남성,20대,4000만원 미만,1인,업무,변경,가격,유지비,편의성,브랜드
여성,30대,4000만원 미만,3인,업무,추가,기능,유지비,기능,브랜드
남성,40대,4000~7000만원,2인,취미,신규,기능,판매처의 신뢰도,기능,브랜드
여성,50대,1억 이상,2인,기타,추가,브랜드,판매처의 신뢰도,브랜드,기능
남성,60대,7000만원~1억,3인,기타,추가,기능,유지비,브랜드,편의성
